timestamp,price
2024-01-01 00:00:00,46.32
2024-01-01 01:00:00,43.42
2024-01-01 02:00:00,40.88
2024-01-01 03:00:00,42.33
2024-01-01 04:00:00,41.67
2024-01-01 05:00:00,42.15
2024-01-01 06:00:00,54.24
2024-01-01 07:00:00,59.98
2024-01-01 08:00:00,66.56
2024-01-01 09:00:00,70.24
2024-01-01 10:00:00,68.32
2024-01-01 11:00:00,65.62
2024-01-01 12:00:00,58.46
2024-01-01 13:00:00,53.05
2024-01-01 14:00:00,48.76
2024-01-01 15:00:00,47.89
2024-01-01 16:00:00,54.17
2024-01-01 17:00:00,64.22
2024-01-01 18:00:00,70.14
2024-01-01 19:00:00,74.68
2024-01-01 20:00:00,71.61
2024-01-01 21:00:00,55.92
2024-01-01 22:00:00,52.45
2024-01-01 23:00:00,52.19
2024-01-02 00:00:00,49.37
2024-01-02 01:00:00,43.22
2024-01-02 02:00:00,42.35
2024-01-02 03:00:00,40.97
2024-01-02 04:00:00,44.4
2024-01-02 05:00:00,43.3
2024-01-02 06:00:00,54.95
2024-01-02 07:00:00,56.23
2024-01-02 08:00:00,59.35
2024-01-02 09:00:00,68.07
2024-01-02 10:00:00,64.88
2024-01-02 11:00:00,64.76
2024-01-02 12:00:00,58.49
2024-01-02 13:00:00,49.06
2024-01-02 14:00:00,53.52
2024-01-02 15:00:00,47.93
2024-01-02 16:00:00,53.17
2024-01-02 17:00:00,59.4
2024-01-02 18:00:00,70.36
2024-01-02 19:00:00,77.46
2024-01-02 20:00:00,71.93
2024-01-02 21:00:00,61.33
2024-01-02 22:00:00,55.33
2024-01-02 23:00:00,52.15
2024-01-03 00:00:00,44.87
2024-01-03 01:00:00,41.79
2024-01-03 02:00:00,39.81
2024-01-03 03:00:00,41.72
2024-01-03 04:00:00,41.3
2024-01-03 05:00:00,53.65
2024-01-03 06:00:00,50.79
2024-01-03 07:00:00,57.48
2024-01-03 08:00:00,69.52
2024-01-03 09:00:00,74.15
2024-01-03 10:00:00,69.15
2024-01-03 11:00:00,64.63
2024-01-03 12:00:00,60.77
2024-01-03 13:00:00,52.43
2024-01-03 14:00:00,46.71
2024-01-03 15:00:00,49.34
2024-01-03 16:00:00,56.29
2024-01-03 17:00:00,55.95
2024-01-03 18:00:00,70.12
2024-01-03 19:00:00,75.76
2024-01-03 20:00:00,69.07
2024-01-03 21:00:00,62.45
2024-01-03 22:00:00,55.13
2024-01-03 23:00:00,57.68
2024-01-04 00:00:00,48.61
2024-01-04 01:00:00,42.11
2024-01-04 02:00:00,39.53
2024-01-04 03:00:00,37.73
2024-01-04 04:00:00,44.91
2024-01-04 05:00:00,44.94
2024-01-04 06:00:00,53.04
2024-01-04 07:00:00,63.03
2024-01-04 08:00:00,65.04
2024-01-04 09:00:00,69.01
2024-01-04 10:00:00,62.1
2024-01-04 11:00:00,58.88
2024-01-04 12:00:00,54.79
2024-01-04 13:00:00,53.96
2024-01-04 14:00:00,54.56
2024-01-04 15:00:00,50.88
2024-01-04 16:00:00,54.21
2024-01-04 17:00:00,60.79
2024-01-04 18:00:00,73.27
2024-01-04 19:00:00,77.68
2024-01-04 20:00:00,70.84
2024-01-04 21:00:00,57.24
2024-01-04 22:00:00,56.09
2024-01-04 23:00:00,51.86
2024-01-05 00:00:00,50.44
2024-01-05 01:00:00,43.85
2024-01-05 02:00:00,47.08
2024-01-05 03:00:00,39.15
2024-01-05 04:00:00,46.83
2024-01-05 05:00:00,46.99
2024-01-05 06:00:00,51.7
2024-01-05 07:00:00,57.39
2024-01-05 08:00:00,66.76
2024-01-05 09:00:00,74.16
2024-01-05 10:00:00,70.08
2024-01-05 11:00:00,64.19
2024-01-05 12:00:00,49.37
2024-01-05 13:00:00,54.85
2024-01-05 14:00:00,52.64
2024-01-05 15:00:00,49.29
2024-01-05 16:00:00,51.54
2024-01-05 17:00:00,60.28
2024-01-05 18:00:00,75.19
2024-01-05 19:00:00,71.83
2024-01-05 20:00:00,68.74
2024-01-05 21:00:00,64.36
2024-01-05 22:00:00,52.04
2024-01-05 23:00:00,49.62
2024-01-06 00:00:00,39.05
2024-01-06 01:00:00,32.22
2024-01-06 02:00:00,33.88
2024-01-06 03:00:00,28.59
2024-01-06 04:00:00,36.71
2024-01-06 05:00:00,38.65
2024-01-06 06:00:00,52.1
2024-01-06 07:00:00,53.62
2024-01-06 08:00:00,63.31
2024-01-06 09:00:00,57.98
2024-01-06 10:00:00,59.26
2024-01-06 11:00:00,55.1
2024-01-06 12:00:00,53.73
2024-01-06 13:00:00,39.67
2024-01-06 14:00:00,45.95
2024-01-06 15:00:00,44.71
2024-01-06 16:00:00,50.03
2024-01-06 17:00:00,54.42
2024-01-06 18:00:00,62.18
2024-01-06 19:00:00,65.44
2024-01-06 20:00:00,58.27
2024-01-06 21:00:00,52.86
2024-01-06 22:00:00,44.81
2024-01-06 23:00:00,48.77
2024-01-07 00:00:00,36.92
2024-01-07 01:00:00,36.9
2024-01-07 02:00:00,28.51
2024-01-07 03:00:00,31.04
2024-01-07 04:00:00,34.84
2024-01-07 05:00:00,41.11
2024-01-07 06:00:00,49.59
2024-01-07 07:00:00,52.64
2024-01-07 08:00:00,55.86
2024-01-07 09:00:00,63.26
2024-01-07 10:00:00,61.18
2024-01-07 11:00:00,55.6
2024-01-07 12:00:00,46.39
2024-01-07 13:00:00,48.12
2024-01-07 14:00:00,43.24
2024-01-07 15:00:00,45.04
2024-01-07 16:00:00,49.25
2024-01-07 17:00:00,54.11
2024-01-07 18:00:00,62.88
2024-01-07 19:00:00,73.46
2024-01-07 20:00:00,62.75
2024-01-07 21:00:00,51.39
2024-01-07 22:00:00,45.72
2024-01-07 23:00:00,47.16
